"BPCOD","descrip"
"01
","Robo total de vehículo (automóvil, camioneta, camión)"
"02
","Robo de accesorios, refacciones o herramientas de vehículos (automóvil, camioneta, camión)"
"03
","Pinta de barda o grafiti en su casa, rayones intencionales en su vehículo u otro tipo de vandalismo"
"04
","Alguien entró a su casa o departamento sin permiso mediante el uso de la fuerza o por engaños y robó o intentó robar algo"
"05
","Robo o asalto en la calle o en el transporte público (incluye robo en banco o cajero automático)"
"06
","Robo en forma distinta a la anterior"
"07
","Alguien usó su chequera, número de tarjeta o cuenta bancaria sin su permiso para realizar cargos o para extraer dinero de sus cuentas (fraude bancario) o le dio dinero falso"
"08
","Entregó dinero por un producto o un servicio que no recibió conforme a lo acordado (fraude al consumidor)"
"09
","Amenazas, presiones o engaños para exigirle dinero o bienes; o para que hiciera algo o dejara de hacerlo (extorsión)"
"10
","Amenazas verbales de alguien plenamente identificado o por escrito hacia su persona diciendo que le va a causar un daño a usted, a su familia, a sus bienes o su trabajo"
"11
","Alguien sólo por actitud abusiva o por una discusión lo(a) golpeó generándole una lesión física (moretones, fracturas, cortadas, etc.)"
"12
","Lo secuestraron para exigir dinero o bienes"
"13
","Alguien en contra de su voluntad lo(a) agredió mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación"
"14
","Fue obligado(a) mediante violencia física o amenaza por alguien conocido o desconocido a tener una actividad sexual no deseada (violación sexual)"
"15
","Otros delitos distintos a los anteriores"
"A
","Entrevista completa con victimización"
