NOMBRE_CAMPO,NEMÓNICO,TIPO,LONGITUD,RANGO_CLAVES
Identificador de vivienda seleccionada,ID_VIV,Alfanumérico,10,"0100001.01…3299999.99"
Identificador del hogar seleccionado,ID_HOG,Alfanumérico,13,"0100001.01.01…3299999.99.99"
Identificador de la persona,ID_PER,Alfanumérico,16,"0100001.01.01.01…3299999.99.99.30"
Identificador del delito,ID_DEL,Alfanumérico,21,"0100001.01.01.01.01.1…3299999.99.99.30.15.5"
Control de vivienda (UPM),UPM,Numérico,7,"0100001…3299999"
Vivienda seleccionada,VIV_SEL,Numérico,2,"01…99"
Control del hogar,HOGAR,Numérico,2,"01…99"
Número de delito por tipo,ND_TIPO,Numérico,1,"1…5"
Total de delitos por tipo,TD_TIPO,Numérico,1,"1…9"
Códigos para delitos,BPCOD,Numérico,2,"01"
Códigos para delitos,BPCOD,Numérico,2,"02"
Códigos para delitos,BPCOD,Numérico,2,"03"
Códigos para delitos,BPCOD,Numérico,2,"04"
Códigos para delitos,BPCOD,Numérico,2,"05"
Códigos para delitos,BPCOD,Numérico,2,"06"
Códigos para delitos,BPCOD,Numérico,2,"07"
Códigos para delitos,BPCOD,Numérico,2,"08"
Códigos para delitos,BPCOD,Numérico,2,"09"
Códigos para delitos,BPCOD,Numérico,2,"10"
Códigos para delitos,BPCOD,Numérico,2,"11"
Códigos para delitos,BPCOD,Numérico,2,"12"
Códigos para delitos,BPCOD,Numérico,2,"13"
Códigos para delitos,BPCOD,Numérico,2,"14"
Códigos para delitos,BPCOD,Numérico,2,"15"
Resultado de la visita al hogar,RESUL_H,Alfanumérico,1,"A"
Número de renglón de la persona seleccionada,R_SEL,Numérico,2,"01…30"
Sexo,SEXO,Numérico,1,"1"
Sexo,SEXO,Numérico,1,"2"
Edad,EDAD,Numérico,2,"18…96"
Edad,EDAD,Numérico,2,"97"
Edad,EDAD,Numérico,2,"98"
Área metropolitana de ocurrencia del delito,AREAM_OCU,Numérico,2,"01"
Área metropolitana de ocurrencia del delito,AREAM_OCU,Numérico,2,"02"
Área metropolitana de ocurrencia del delito,AREAM_OCU,Numérico,2,"03"
Área metropolitana de ocurrencia del delito,AREAM_OCU,Numérico,2,"04"
Área metropolitana de ocurrencia del delito,AREAM_OCU,Numérico,2,"05"
Área metropolitana de ocurrencia del delito,AREAM_OCU,Numérico,2,"06"
