NOMBRE_CAMPO,NEMÓNICO,TIPO,LONGITUD,RANGO_CLAVES
Identificador de vivienda seleccionada,ID_VIV,Alfanumérico,10,"0100001.01…3299999.99"
Control de vivienda (UPM),UPM,Numérico,7,"0100001…3299999"
Vivienda seleccionada,VIV_SEL,Numérico,2,"01…99"
Área metropolitana,AREAM,Numérico,2,"01"
Área metropolitana,AREAM,Numérico,2,"02"
Área metropolitana,AREAM,Numérico,2,"03"
Área metropolitana,AREAM,Numérico,2,"04"
Área metropolitana,AREAM,Numérico,2,"05"
Área metropolitana,AREAM,Numérico,2,"06"
Área metropolitana,AREAM,Numérico,2,"07"
Área metropolitana,AREAM,Numérico,2,"08"
Área metropolitana,AREAM,Numérico,2,"09"
Área metropolitana,AREAM,Numérico,2,"10"
Área metropolitana,AREAM,Numérico,2,"12"
Área metropolitana,AREAM,Numérico,2,"13"
Área metropolitana,AREAM,Numérico,2,"14"
Área metropolitana,AREAM,Numérico,2,"15"
Área metropolitana,AREAM,Numérico,2,"16"
Área metropolitana,AREAM,Numérico,2,"17"
Área metropolitana,AREAM,Numérico,2,"18"
Área metropolitana,AREAM,Numérico,2,"19"
Área metropolitana,AREAM,Numérico,2,"21"
Área metropolitana,AREAM,Numérico,2,"24"
Área metropolitana,AREAM,Numérico,2,"25"
Área metropolitana,AREAM,Numérico,2,"26"
Área metropolitana,AREAM,Numérico,2,"27"
Área metropolitana,AREAM,Numérico,2,"28"
Área metropolitana,AREAM,Numérico,2,"29"
Área metropolitana,AREAM,Numérico,2,"31"
Área metropolitana,AREAM,Numérico,2,"32"
Área metropolitana,AREAM,Numérico,2,"33"
Área metropolitana,AREAM,Numérico,2,"36"
Área metropolitana,AREAM,Numérico,2,"39"
Área metropolitana,AREAM,Numérico,2,"40"
Área metropolitana,AREAM,Numérico,2,"41"
Área metropolitana,AREAM,Numérico,2,"43"
Clave Entidad,CVE_ENT,Numérico,2,"01"
Clave Entidad,CVE_ENT,Numérico,2,"02"
Clave Entidad,CVE_ENT,Numérico,2,"03"
Clave Entidad,CVE_ENT,Numérico,2,"04"
Clave Entidad,CVE_ENT,Numérico,2,"05"
Clave Entidad,CVE_ENT,Numérico,2,"06"
Clave Entidad,CVE_ENT,Numérico,2,"07"
Clave Entidad,CVE_ENT,Numérico,2,"08"
Clave Entidad,CVE_ENT,Numérico,2,"09"
Clave Entidad,CVE_ENT,Numérico,2,"10"
Clave Entidad,CVE_ENT,Numérico,2,"11"
Clave Entidad,CVE_ENT,Numérico,2,"12"
Clave Entidad,CVE_ENT,Numérico,2,"13"
Clave Entidad,CVE_ENT,Numérico,2,"14"
Clave Entidad,CVE_ENT,Numérico,2,"15"
Clave Entidad,CVE_ENT,Numérico,2,"16"
Clave Entidad,CVE_ENT,Numérico,2,"17"
Clave Entidad,CVE_ENT,Numérico,2,"18"
Clave Entidad,CVE_ENT,Numérico,2,"19"
Clave Entidad,CVE_ENT,Numérico,2,"20"
